iter	RMSE
889	0.228298937
890	0.2282442879
891	0.2281523469
892	0.2280942353
893	0.2280045231
894	0.227922397
895	0.2278907182
896	0.2277726322
897	0.2277330589
898	0.2276417243
899	0.2275528389
900	0.2274880683
901	0.2274295647
902	0.2273155827
903	0.2272401885
904	0.2271684757
905	0.2271289728
906	0.2270470626
907	0.226978772
908	0.226897672
909	0.2268178726
910	0.2267653881
911	0.2267445876
912	0.2266941492
913	0.2266439924
914	0.2265843209
915	0.2265603104
916	0.2264770318
917	0.2264072705
918	0.226302519
919	0.2261601397
920	0.2261096933
921	0.2260120926
922	0.2259551839
923	0.2258864285
924	0.2257770408
925	0.2257264526
926	0.2256670891
927	0.2255908569
928	0.2255339173
929	0.2254309105
930	0.2253482917
931	0.2252622325
932	0.2252234471
933	0.2251599467
934	0.2251209296
935	0.2250277561
936	0.2249655459
937	0.2249222435
938	0.2248863994
939	0.2248202358
940	0.2247414789
941	0.2246663058
942	0.2246324279
943	0.2245464191
944	0.2245097711
945	0.2244675381
946	0.224405768
947	0.224336485
948	0.2242938512
949	0.2242496543
950	0.2241735666
951	0.2240960395
952	0.2240171121
953	0.2239381713
954	0.2238707231
955	0.2238345113
956	0.2237686534
957	0.2237158267
958	0.2236715971
959	0.2235930426
960	0.2235585158
961	0.2234991077
962	0.2234498819
963	0.2233852402
964	0.22329299
965	0.2232482985
966	0.2231841535
967	0.2231241727
968	0.2230802147
969	0.2229588213
970	0.2228771411
971	0.2228377188
972	0.2227600568
973	0.2226815575
974	0.2225787081
975	0.2225298267
976	0.2224676716
977	0.22240071
978	0.2223590234
979	0.222326209
980	0.2222808694
981	0.222200467
982	0.2221386709
983	0.2221127145
984	0.2220341074
985	0.221992047
986	0.2218984345
987	0.2218422815
988	0.2218032873
989	0.2217456485
990	0.2216716536
991	0.2215966371
992	0.2215491038
993	0.2215118092
994	0.2214068792
995	0.2213682276
996	0.2213154123
997	0.2212751888
998	0.2211965946
999	0.2211325149
